Id;Discount;Epsilon Strategy;Epsilon max ;Epsilon min;Epsilon rate;LR Strategy;LR max;LR min;LR rate;reward1;reward2;reward3
1;0;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
2;0,1;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
3;0,2;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
4;0,5;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
5;0,8;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
6;0,9;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
7;1;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
8;0;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
9;0,1;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
10;0,2;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
11;0,5;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
12;0,8;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
13;0,9;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
14;1;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,2;1,2
15;0;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
16;0,1;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
17;0,2;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
18;0,5;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
19;0,8;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
20;0,9;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
21;1;decaying;0,5;0,05;0,995;constant;0,9;0,01;0,995;1,6;0,2;1,2
22;0;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
23;0,1;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
24;0,2;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
25;0,5;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
26;0,8;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
27;0,9;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
28;1;decaying;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
29;0;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
30;0,1;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
31;0,2;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
32;0,5;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
33;0,8;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
34;0,9;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
35;1;constant;0,5;0,05;0,995;decaying;0,9;0,01;0,995;1,6;0,5;1,1
